receipt_id,ocr_path,label_path,image_path,company,date,address,total,num_ocr_lines,ocr_full_text,total_num,date_format,total_in_ocr_exact,total_clean,base_receipt_id,company_len,address_len,ocr_text_len,company_in_ocr_exact,date_in_ocr_exact,address_in_ocr_exact,ocr_text_norm,company_norm,company_in_ocr_norm,date_norm,date_in_ocr_norm,address_norm,address_in_ocr_norm,total_norm,total_in_ocr_norm,img_width,img_height,aspect_ratio,ocr_lines_per_height,ocr_chars_per_height,date_parsed,date_std,year,month,address_len_bin,company_len_bin,hard_receipt,num_field_failures
X00016469612,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task1train(626p)/X00016469612.txt,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task2train(626p)/X00016469612.txt,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task2train(626p)/X00016469612.jpg,BOOK TA .K (TAMAN DAYA) SDN BHD,25/12/2018,"NO.53 55,57 & 59, JALAN SAGU 18, TAMAN DAYA, 81100 JOHOR BAHRU, JOHOR.",9.00,44,"TAN WOON YANN BOOK TA .K(TAMAN DAYA) SDN BND 789417-W NO.53 55,57 & 59, JALAN SAGU 18, TAMAN DAYA, 81100 JOHOR BAHRU, JOHOR. DOCUMENT NO : TD01167104 DATE: 25/12/2018 8:13:39 PM CASHIER: MANIS MEMBER: CASH BILL CODE/DESC PRICE DISC AMOUNT QTY RM RM 9556939040116 KF MODELLING CLAY KIDDY FISH 1 PC * 9.000 0.00 9.00 TOTAL: ROUR DING ADJUSTMENT: 0.00 ROUND D TOTAL (RM): 9.00 CASH 10.00 CHANGE 1.00 GOODS SOLD ARE NOT RETURNABLE OR EXCHANGEABLE *** *** THANK YOU PLEASE COME AGAIN ! 9.00",9.0,dd/mm/yyyy,True,9.00,X00016469612,31,70,485,False,True,True,tan woon yann book ta k taman daya sdn bnd 789417 w no 53 55 57 59 jalan sagu 18 taman daya 81100 johor bahru johor document no td01167104 date 25 12 2018 8 13 39 pm cashier manis member cash bill code desc price disc amount qty rm rm 9556939040116 kf modelling clay kiddy fish 1 pc 9 000 0 00 9 00 total rour ding adjustment 0 00 round d total rm 9 00 cash 10 00 change 1 00 goods sold are not returnable or exchangeable thank you please come again 9 00,book ta k taman daya sdn bhd,False,25 12 2018,True,no 53 55 57 59 jalan sagu 18 taman daya 81100 johor bahru johor,True,9 00,True,463,1013,2.187904967602592,0.04343534057255676,0.47877591312931883,2018-12-25,2018-12-25,2018.0,12.0,"(56.0, 72.0]","(30.0, 49.0]",True,1
X00016469619,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task1train(626p)/X00016469619.txt,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task2train(626p)/X00016469619.txt,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task2train(626p)/X00016469619.jpg,INDAH GIFT & HOME DECO,19/10/2018,"27, JALAN DEDAP 13, TAMAN JOHOR JAYA, 81100 JOHOR BAHRU, JOHOR.",60.30,48,"TAN WOON YANN INDAH GIFT & HOME DECO 27,JALAN DEDAP 13, TAMAN JOHOR JAYA, 81100 JOHOR BAHRU,JOHOR. TEL:07-3507405 FAX:07-3558160 RECEIPT 19/10/2018 20:49:59 #01 CASHIER: CN LOCATION/SP: 05 /0531 MB: MO26588 ROOM NO: 01 050100035279 DESC/ITEM QTY PRICE AMT(RM) ST-PRIVILEGE CARD/GD INDAH 88888 1 10.00 10.00 GF-TABLE LAMP/STITCH <I> 62483 1 55.90 55.90 @DISC 10.00% -5.59 #TOTAL QTY 2 TOTAL AMT................. RM 60.31 ROUNDING ADJ............ -0.01 RM 60.30 CASH.................... RM 70.30 CHANGE.................. RM 10.00 THANK YOU ! PLEASE COME AGAIN ! GOODS SOLD ARE NOT RETURNABLE THANK YOU ! FLEASE COME AOSIN ! GOODS SOLD ARE NOT RETURNABLE DEALING IN WHOLESALE AND RETAIL.",60.3,dd/mm/yyyy,True,60.30,X00016469619,22,63,684,True,True,False,tan woon yann indah gift home deco 27 jalan dedap 13 taman johor jaya 81100 johor bahru johor tel 07 3507405 fax 07 3558160 receipt 19 10 2018 20 49 59 01 cashier cn location sp 05 0531 mb mo26588 room no 01 050100035279 desc item qty price amt rm st privilege card gd indah 88888 1 10 00 10 00 gf table lamp stitch i 62483 1 55 90 55 90 disc 10 00 5 59 total qty 2 total amt rm 60 31 rounding adj 0 01 rm 60 30 cash rm 70 30 change rm 10 00 thank you please come again goods sold are not returnable thank you flease come aosin goods sold are not returnable dealing in wholesale and retail,indah gift home deco,True,19 10 2018,True,27 jalan dedap 13 taman johor jaya 81100 johor bahru johor,True,60 30,True,439,1004,2.287015945330296,0.04780876494023904,0.6812749003984063,2018-10-19,2018-10-19,2018.0,10.0,"(56.0, 72.0]","(19.25, 24.0]",False,0
X00016469620,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task1train(626p)/X00016469620.txt,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task2train(626p)/X00016469620.txt,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task2train(626p)/X00016469620.jpg,MR D.I.Y. (JOHOR) SDN BHD,12-01-19,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR (MR DIY TESCO TERBAU)",33.90,54,"TAN WOON YANN MR D.T.Y. (JOHOR) SDN BHD (CO.REG : 933109-X) LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR (MR DIY TESCO TERBAU) -INVOICE- CHOPPING BOARD 35.5X25.5CM 803M# EZ10HD05 - 24 8970669 1 X 19.00 19.00 AIR PRESSURE SPRAYER SX-575-1 1.5L HC03-7 - 15 9066468 1 X 8.02 8.02 WAXCO WINDSHILED CLEANER 120ML WA14-3A - 48 9557031100236 1 X 3.02 3.02 BOPP TAPE 48MM*100M CLEAR FZ-04 - 36 6935818350846 1 X 3.88 3.88 ITEM(S) : 4 QTY(S) : 4 TOTAL RM 33.92 ROUNDING ADJUSTMENT -RM 0.02 TOTAL ROUNDED RM 33.90 CASH RM 50.00 CHANGE RM 16.10 12-01-19 21:13 SH01 ZK09 T4 R000027830 OPERATOR TRAINEE CASHIER EXCHANGE ARE ALLOWED WITHIN 7 DAYS WITH RECEIPT. STRICTLY NO CASH REFUND.",33.9,dd-mm-yy,True,33.90,X00016469620,25,118,723,False,True,True,tan woon yann mr d t y johor sdn bhd co reg 933109 x lot 1851 a 1851 b jalan kpb 6 kawasan perindustrian balakong 43300 seri kembangan selangor mr diy tesco terbau invoice chopping board 35 5x25 5cm 803m ez10hd05 24 8970669 1 x 19 00 19 00 air pressure sprayer sx 575 1 1 5l hc03 7 15 9066468 1 x 8 02 8 02 waxco windshiled cleaner 120ml wa14 3a 48 9557031100236 1 x 3 02 3 02 bopp tape 48mm 100m clear fz 04 36 6935818350846 1 x 3 88 3 88 item s 4 qty s 4 total rm 33 92 rounding adjustment rm 0 02 total rounded rm 33 90 cash rm 50 00 change rm 16 10 12 01 19 21 13 sh01 zk09 t4 r000027830 operator trainee cashier exchange are allowed within 7 days with receipt strictly no cash refund,mr d i y johor sdn bhd,False,12 01 19,True,lot 1851 a 1851 b jalan kpb 6 kawasan perindustrian balakong 43300 seri kembangan selangor mr diy tesco terbau,True,33 90,True,459,949,2.0675381263616557,0.05690200210748156,0.761854583772392,2019-01-12,2019-01-12,2019.0,1.0,"(85.0, 135.0]","(24.0, 30.0]",True,1
X00016469622,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task1train(626p)/X00016469622.txt,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task2train(626p)/X00016469622.txt,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task2train(626p)/X00016469622.jpg,YONGFATT ENTERPRISE,25/12/2018,NO 122.124. JALAN DEDAP 13 81100 JOHOR BAHRU,80.90,60,TAN WOON YANN YONGFATT ENTERPRISE (JM0517726) NO 122.124 JALAN DEDAP 13 81100 JOHOR BAHRU TEL 07-3523888 GST ID: 000849813504 SIMPLIFIED TAX INVOICE CASH DOC NO CS00031663 DATE 25/12/2018 CASHIER USER TIME 12 31 00 SALESPERSON REF. ITEM QTY S/PRICE AMOUNT TAX E8318 1 80.91 80.91 SR ELEGANT SCHTR BAG 15 TOTAL QTY 1 80.91 TOTAL SALES (EXCLUDING GST) : 80.91 DISCOUNT : 0.00 TOTAL GST : 0.00 ROUNDING -0.01 TOTAL SALES (INCLUSIVE OF GST) : 80.90 CASH : 100.00 CHANGE : 19.10 GST SUMMARY TAX CODE % AMT (RM) TAX (RM) SR 0 80.91 0.00 TOTAL : 80.91 0.00 GOODS SOLD ARE NOT REFUNDABLE ONLY,80.9,dd/mm/yyyy,True,80.90,X00016469622,19,44,584,True,True,False,tan woon yann yongfatt enterprise jm0517726 no 122 124 jalan dedap 13 81100 johor bahru tel 07 3523888 gst id 000849813504 simplified tax invoice cash doc no cs00031663 date 25 12 2018 cashier user time 12 31 00 salesperson ref item qty s price amount tax e8318 1 80 91 80 91 sr elegant schtr bag 15 total qty 1 80 91 total sales excluding gst 80 91 discount 0 00 total gst 0 00 rounding 0 01 total sales inclusive of gst 80 90 cash 100 00 change 19 10 gst summary tax code amt rm tax rm sr 0 80 91 0 00 total 80 91 0 00 goods sold are not refundable only,yongfatt enterprise,True,25 12 2018,True,no 122 124 jalan dedap 13 81100 johor bahru,True,80 90,True,461,933,2.0238611713665944,0.06430868167202572,0.6259378349410504,2018-12-25,2018-12-25,2018.0,12.0,"(-0.001, 56.0]","(6.999, 19.25]",False,0
X00016469623,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task1train(626p)/X00016469623.txt,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task2train(626p)/X00016469623.txt,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task2train(626p)/X00016469623.jpg,MR D.I.Y. (M) SDN BHD,18-11-18,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR (TESCO PUTRA NILAI)",30.90,61,"TAN WOON YANN MR D.I.Y. (M) SDN BHD (CO. RFG : 860671-D) LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR (TESCO PUTRA NILAI) -INVOICE- KILAT AUTO ECO WASH & SHINE ES1000 1L WA45 /2A - 12 9555916500133 1 X 3.11 3.11 KILAT' ECO AUTO WASH &WAX EW-1000-1L WA44-A - 12 9555916500126 1 X 4.62 4.62 WD40 27ML MOO 2572 WA43-A - 24 079567600084 1 X 11.23 11.23 KLEENSO AJAIB 99 SERAI WANYI 900G WDOO - 15 9555651400385 1 X 7.45 7.45 HANDKERCHIEF 71386#2PCS PI12PJ11-4 - 6/300 9090822 1 X 4.50 4.50 ITEM (S) : 5 QTY(S) : 5 TOTAL RM 30.91 ROUNDING ADJUSTMENT RM 0.01 TOTAL ROUNDED RM 30.90 CASH RM 51.00 CHANGE RM 20.10 18-11-18 13 : 58 SH01 ZI53 T2 R000002902 UPERATOR TRAINEE CASHIER EXCHANGE ARE ALLOWED WITHIN 7 DAYS WITH RECEIPT. STRICTLY NO CASH REFUND.",30.9,dd-mm-yy,True,30.90,X00016469623,21,116,797,True,True,True,tan woon yann mr d i y m sdn bhd co rfg 860671 d lot 1851 a 1851 b jalan kpb 6 kawasan perindustrian balakong 43300 seri kembangan selangor tesco putra nilai invoice kilat auto eco wash shine es1000 1l wa45 2a 12 9555916500133 1 x 3 11 3 11 kilat eco auto wash wax ew 1000 1l wa44 a 12 9555916500126 1 x 4 62 4 62 wd40 27ml moo 2572 wa43 a 24 079567600084 1 x 11 23 11 23 kleenso ajaib 99 serai wanyi 900g wdoo 15 9555651400385 1 x 7 45 7 45 handkerchief 71386 2pcs pi12pj11 4 6 300 9090822 1 x 4 50 4 50 item s 5 qty s 5 total rm 30 91 rounding adjustment rm 0 01 total rounded rm 30 90 cash rm 51 00 change rm 20 10 18 11 18 13 58 sh01 zi53 t2 r000002902 uperator trainee cashier exchange are allowed within 7 days with receipt strictly no cash refund,mr d i y m sdn bhd,True,18 11 18,True,lot 1851 a 1851 b jalan kpb 6 kawasan perindustrian balakong 43300 seri kembangan selangor tesco putra nilai,True,30 90,True,463,1026,2.2159827213822894,0.0594541910331384,0.776803118908382,2018-11-18,2018-11-18,2018.0,11.0,"(85.0, 135.0]","(19.25, 24.0]",False,0
X00016469669,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task1train(626p)/X00016469669.txt,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task2train(626p)/X00016469669.txt,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task2train(626p)/X00016469669.jpg,ABC HO TRADING,09/01/2019,"NO.2&4, JALAN HARMONI 3/2, TAMAN DESA HARMONI. 81100 JOHOR BAHRU JOHOR",31.00,35,"TAN CHAY YEE ABC HO TRADING NO.2&4,JALAN HARMONI 3/2, TAMAN DESA HARMONI. 81100 JOHOR BAHRU JOHOR 07-355 2616 CASH BILL : 01-143008 DATE : 09/01/2019 8:01:11 PM CASHIER : 01 DESCRIPTION QTY PRICE AMOUNT RM RM PLASTIC 2 15.50 31.00 TOTAL : 31.00 TOTAL AMOUNT: 31.00 CASH RECEIVED : 101.00 CHANGE : 70.00 *GOODS SOLD ARE NON-REFUNDABLE* ***THANK YOU*** ***PLEASE COME AGAIN***",31.0,dd/mm/yyyy,True,31.00,X00016469669,14,70,374,True,True,False,tan chay yee abc ho trading no 2 4 jalan harmoni 3 2 taman desa harmoni 81100 johor bahru johor 07 355 2616 cash bill 01 143008 date 09 01 2019 8 01 11 pm cashier 01 description qty price amount rm rm plastic 2 15 50 31 00 total 31 00 total amount 31 00 cash received 101 00 change 70 00 goods sold are non refundable thank you please come again,abc ho trading,True,09 01 2019,True,no 2 4 jalan harmoni 3 2 taman desa harmoni 81100 johor bahru johor,True,31 00,True,463,605,1.306695464362851,0.05785123966942149,0.6181818181818182,2019-01-09,2019-01-09,2019.0,1.0,"(56.0, 72.0]","(6.999, 19.25]",False,0
X00016469672,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task1train(626p)/X00016469672.txt,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task2train(626p)/X00016469672.txt,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task2train(626p)/X00016469672.jpg,SOON HUAT MACHINERY ENTERPRISE,11/01/2019,"NO.53 JALAN PUTRA 1, TAMAN SRI PUTRA, 81200 JOHOR BAHRU JOHOR",327.00,93,"TAN CHAY YEE SOON HUAT MACHINERY ENTERPRISE (JM0352019-K) NO.53 JALAN PUTRA 1, TAMAN SRIPUTRA, 81200 JOHOR BAHRU JOHOR TEL : 07-5547360 / 016-7993391 FAX : 07-5624059 SOONHUAT2000@HOTMAIL.COM GST ID : 002116837376 CASH SALES DOC NO. : CS00004040 DATE: 11/01/2019 CASHIER : USER TIME: 09:44:00 SALESPERSON : REF.: GOODS SOLD ARE NOT RETURNABLE, THANK YOU. ITEM QTY S/PRICE S/PRICE AMOUNT TAX 1072 1 80.00 80.00 80.00 REPAIR ENGINE POWER SPRAYER (1UNIT) WORKMANSHIP & SERVICE 70549 1 160.00 160.00 160.00 GIANT 606 OVERFLOW ASSY 1071 1 17.00 17.00 17.00 ENGINE OIL 70791 1 10.00 10.00 10.00 GREASE FOR TOOLS 40ML (AKODA) 70637 1 6.00 6.00 6.00 EY20 PLUG CHAMPION 1643 1 8.00 8.00 8.00 STARTER TALI 70197 1 10.00 10.00 10.00 EY20 STARTER HANDLE 70561 2 18.00 18.00 36.00 HD40 1L COTIN TOTAL QTY: 9 327.00 TOTAL SALES : 327.00 DISCOUNT : 0.00 TOTAL : 0.00 ROUNDING : 0.00 TOTAL SALES : 327.00 CASH : 327.00 CHANGE : 0.00",327.0,dd/mm/yyyy,True,327.00,X00016469672,30,61,916,True,True,False,tan chay yee soon huat machinery enterprise jm0352019 k no 53 jalan putra 1 taman sriputra 81200 johor bahru johor tel 07 5547360 016 7993391 fax 07 5624059 soonhuat2000 hotmail com gst id 002116837376 cash sales doc no cs00004040 date 11 01 2019 cashier user time 09 44 00 salesperson ref goods sold are not returnable thank you item qty s price s price amount tax 1072 1 80 00 80 00 80 00 repair engine power sprayer 1unit workmanship service 70549 1 160 00 160 00 160 00 giant 606 overflow assy 1071 1 17 00 17 00 17 00 engine oil 70791 1 10 00 10 00 10 00 grease for tools 40ml akoda 70637 1 6 00 6 00 6 00 ey20 plug champion 1643 1 8 00 8 00 8 00 starter tali 70197 1 10 00 10 00 10 00 ey20 starter handle 70561 2 18 00 18 00 36 00 hd40 1l cotin total qty 9 327 00 total sales 327 00 discount 0 00 total 0 00 rounding 0 00 total sales 327 00 cash 327 00 change 0 00,soon huat machinery enterprise,True,11 01 2019,True,no 53 jalan putra 1 taman sri putra 81200 johor bahru johor,False,327 00,True,457,1170,2.560175054704595,0.07948717948717948,0.7829059829059829,2019-01-11,2019-01-11,2019.0,1.0,"(56.0, 72.0]","(24.0, 30.0]",True,1
X00016469676,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task1train(626p)/X00016469676.txt,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task2train(626p)/X00016469676.txt,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task2train(626p)/X00016469676.jpg,S.H.H. MOTOR (SUNGAI RENGIT) SDN. BHD.,23-01-2019,"NO. 343, JALAN KURAU, SUNGAI RENGIT, 81620 PENGERANG, JOHOR.",20.00,28,"TAN CHAY YEE S.H.H. MOTOR (SUNGAI RENGIT) SDN. BHD. (801580-T) NO. 343, JALAN KURAU, SUNGAI RENGIT, 81620 PENGERANG, JOHOR. TEL: 07-8263254 FAX: 07-8266888 INVOICE ITEM/DESC. QTY U.PRICE RM(TOTAL) 4132 1 20.00 20.00 CROCS 300X17 TUBES SUB TOTAL : 20.00 ROUNDING ADJUSTMENT : 0.00 GRAND TOTAL : 20.00 CASH : 20.00 CHANGE : 0.00 23-01-2019 13:14:15 PM, PRINT BY: ROOT TOKEN NO: 0, STATION ID: A1, PID: POS INVOICE NO: 22497 THANKS YOUR SUPPORT",20.0,dd-mm-yyyy,True,20.00,X00016469676,38,60,441,True,True,True,tan chay yee s h h motor sungai rengit sdn bhd 801580 t no 343 jalan kurau sungai rengit 81620 pengerang johor tel 07 8263254 fax 07 8266888 invoice item desc qty u price rm total 4132 1 20 00 20 00 crocs 300x17 tubes sub total 20 00 rounding adjustment 0 00 grand total 20 00 cash 20 00 change 0 00 23 01 2019 13 14 15 pm print by root token no 0 station id a1 pid pos invoice no 22497 thanks your support,s h h motor sungai rengit sdn bhd,True,23 01 2019,True,no 343 jalan kurau sungai rengit 81620 pengerang johor,True,20 00,True,463,797,1.7213822894168467,0.03513174404015056,0.5533249686323714,2019-01-23,2019-01-23,2019.0,1.0,"(56.0, 72.0]","(30.0, 49.0]",False,0
X51005200938,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task1train(626p)/X51005200938.txt,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task2train(626p)/X51005200938.txt,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task2train(626p)/X51005200938.jpg,PERNIAGAAN ZHENG HUI,12/02/2018,NO.59 JALAN PERMAS 9/5 BANDAR BARU PERMAS JAYA 81760 JOHOR BAHRU,112.45,76,"PERNIAGAAN ZHENG HUI JM0325955-V NO.59 JALAN PERMAS 9/5 BANDAR BARU PERMAS JAYA 81760 JOHOR BAHRU TEL : 07-386 7524 FAX : 07-386 3793 GST NO: 000800589824 SIMPLIFIED TAX INVOICE GOGIANT ENGINEERING (M) SDN BHD RECEIPT#: CS00082662 SALESPERSON: DATE: 12/02/2018 CASHIER: USER TIME:08:30:00 (RM) (RM) ITEM QTY RSP AMOUNT 8239 1 15.00 15.00 SR: 11"" PROWESS H/DUTY SILICONE GUN G-D2 9555075109147 3 7.00 21.00 SR: XTRASEAL RTV ACETIC SILICONE SA-107 9744 1 18.00 18.00 SR: CENTRAL PUNCH SET 3PCS - 1/4"",5/32"".1/4"" 12525 1 50.00 50.00 SR. 24"" MARKSMAN PIPE WRENCH 2016 3 0.70 2.10 SR: PVC WIRE TAPE 1PC X 7YD TOT QTY: 9 106.10 (EXCLUDED GST) SUB TOTAL (RM) : 106.10 DISCOUNT (RM) : 0.00 TOTAL GST (RM) : 6.37 ROUNDING (RM) : -0.02 TOTAL (RM) : 112.45 CASH : 112.45 CHANGE (RM) : 0.00 GST SUMMARY TAX CODE % AMOUNT GST SR 6 106.10 6.37 TOTAL : 106.10 6.37 GOODS SOLD ARE NOT RETURNABLE. THANK YOU.",112.45,dd/mm/yyyy,True,112.45,X51005200938,20,64,891,True,True,True,perniagaan zheng hui jm0325955 v no 59 jalan permas 9 5 bandar baru permas jaya 81760 johor bahru tel 07 386 7524 fax 07 386 3793 gst no 000800589824 simplified tax invoice gogiant engineering m sdn bhd receipt cs00082662 salesperson date 12 02 2018 cashier user time 08 30 00 rm rm item qty rsp amount 8239 1 15 00 15 00 sr 11 prowess h duty silicone gun g d2 9555075109147 3 7 00 21 00 sr xtraseal rtv acetic silicone sa 107 9744 1 18 00 18 00 sr central punch set 3pcs 1 4 5 32 1 4 12525 1 50 00 50 00 sr 24 marksman pipe wrench 2016 3 0 70 2 10 sr pvc wire tape 1pc x 7yd tot qty 9 106 10 excluded gst sub total rm 106 10 discount rm 0 00 total gst rm 6 37 rounding rm 0 02 total rm 112 45 cash 112 45 change rm 0 00 gst summary tax code amount gst sr 6 106 10 6 37 total 106 10 6 37 goods sold are not returnable thank you,perniagaan zheng hui,True,12 02 2018,True,no 59 jalan permas 9 5 bandar baru permas jaya 81760 johor bahru,True,112 45,True,992,1403,1.4143145161290323,0.0541696364932288,0.6350677120456165,2018-02-12,2018-02-12,2018.0,2.0,"(56.0, 72.0]","(19.25, 24.0]",False,0
X51005230617,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task1train(626p)/X51005230617.txt,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task2train(626p)/X51005230617.txt,/Users/lucashuynh/Desktop/Gated-Risk-MCP/Data/SROIE/0325updated.task2train(626p)/X51005230617.jpg,GERBANG ALAF RESTAURANTS SDN BHD,18/01/2018,"LEVEL 6, BANGUNAN TH, DAMANSARA UPTOWN3 NO.3, JALAN SS21/39,47400 PETALING JAYA SELANGOR",26.60,43,"1950 GERBANG ALAF RESTAURANTS SDN BHD (65351-M) FORMERLY KNOWN AS GOLDEN ARCHES RESTAURANTS SDN BHD LICENSEE OF MCDONALD'S LEVEL 6, BANGUNAN TH, DAMANSARA UPTOWN3 NO.3, JALAN SS21/39,47400 PETALING JAYA SELANGOR (GST ID NO: 000504664064) MCDONALD'S BHP TAMAN MELAWATI(#328) TEL NO. 03-4162-2318 TAX INVOICE MFY SIDE 1 INV# 003281900229170 ORD #50 -REG #19- 18/01/2018 10:27:03 QTY ITEM 2 CHICMCMUFFIN 1 M PORRIDGE 1 BM 2HOTCAKES 1 L COKE TAKEOUT TOTAL (INCL GST) TOTAL ROUNDED CASH TENDERED CHANGE TOTAL INCLUDES 6% GST TOTAL 11.00 5.60 10.00 26.60 26.60 100.00 73.40 1.51 WE'D LOVE TO HEAR YOUR FEEDBACK SIT WWW.MCDFEEDBACK.COM.MY OR DOWNLOAD MY MCD FEEDBACK FROM GOOGLE PLAY/APP STORE TO SHARE YOUR EXPERIENCE THANK YOU AND PLEASE COME AGAIN. CUSTOMER SERVICE HOTLINE : 03-2726-5600",26.6,dd/mm/yyyy,True,26.60,X51005230617,32,88,784,True,True,True,1950 gerbang alaf restaurants sdn bhd 65351 m formerly known as golden arches restaurants sdn bhd licensee of mcdonald s level 6 bangunan th damansara uptown3 no 3 jalan ss21 39 47400 petaling jaya selangor gst id no 000504664064 mcdonald s bhp taman melawati 328 tel no 03 4162 2318 tax invoice mfy side 1 inv 003281900229170 ord 50 reg 19 18 01 2018 10 27 03 qty item 2 chicmcmuffin 1 m porridge 1 bm 2hotcakes 1 l coke takeout total incl gst total rounded cash tendered change total includes 6 gst total 11 00 5 60 10 00 26 60 26 60 100 00 73 40 1 51 we d love to hear your feedback sit www mcdfeedback com my or download my mcd feedback from google play app store to share your experience thank you and please come again customer service hotline 03 2726 5600,gerbang alaf restaurants sdn bhd,True,18 01 2018,True,level 6 bangunan th damansara uptown3 no 3 jalan ss21 39 47400 petaling jaya selangor,True,26 60,True,604,1716,2.8410596026490067,0.02505827505827506,0.4568764568764569,2018-01-18,2018-01-18,2018.0,1.0,"(85.0, 135.0]","(30.0, 49.0]",False,0
