doc_id,dataset,split,n_tokens,n_boxes,company_present,date_present,address_present,total_present,company_len,date_len,address_len,total_len,company_in_ocr,date_in_ocr,address_in_ocr,total_in_ocr,exact_total_matches,n_amount_like_tokens,n_date_like_tokens,has_total_anchor,has_date_anchor,has_cash_anchor
000,SROIE,train,44,44,True,True,True,True,31,10,70,4,False,True,False,True,3,7,0,True,True,True
001,SROIE,train,48,48,True,True,True,True,22,10,63,5,True,True,False,True,1,11,0,True,False,True
002,SROIE,train,54,54,True,True,True,True,25,8,118,5,False,True,False,True,0,12,0,True,False,True
003,SROIE,train,60,60,True,True,True,True,19,10,44,5,True,True,False,True,1,16,1,True,True,True
004,SROIE,train,61,61,True,True,True,True,21,8,116,5,True,True,False,True,0,15,0,True,False,True
005,SROIE,train,35,35,True,True,True,True,14,10,70,5,True,True,False,True,3,8,0,True,True,True
006,SROIE,train,93,93,True,True,True,True,30,10,61,6,True,True,False,True,4,41,0,True,True,True
007,SROIE,train,28,28,True,True,True,True,38,10,60,5,True,True,False,True,5,8,0,True,False,True
008,SROIE,train,76,76,True,True,True,True,20,10,64,6,True,True,True,True,2,28,0,True,True,True
009,SROIE,train,43,43,True,True,True,True,32,10,88,5,True,True,False,True,2,8,0,True,False,True
010,SROIE,train,51,51,True,True,True,True,18,10,49,5,True,True,True,True,0,6,1,True,False,True
011,SROIE,train,58,58,True,True,True,True,49,10,80,5,True,True,False,True,4,13,0,True,True,True
012,SROIE,train,47,47,True,True,True,True,33,10,98,5,True,True,False,True,5,11,0,True,True,True
013,SROIE,train,60,60,True,True,True,True,21,10,71,5,True,True,False,True,5,13,0,True,True,True
014,SROIE,train,119,119,True,True,True,True,9,10,65,5,True,True,False,True,1,52,0,True,True,True
015,SROIE,train,44,44,True,True,True,True,33,10,98,5,True,True,False,True,5,11,0,True,True,True
016,SROIE,train,82,82,True,True,True,True,25,10,78,5,True,True,False,True,2,14,0,True,True,True
017,SROIE,train,76,76,True,True,True,True,25,10,78,5,True,True,False,True,2,12,0,True,True,True
018,SROIE,train,75,75,True,True,True,True,25,10,77,5,True,True,False,True,2,12,0,True,True,True
019,SROIE,train,46,46,True,True,True,True,24,8,45,5,True,True,True,True,3,6,0,True,True,False
020,SROIE,train,59,59,True,True,True,True,30,10,44,5,True,True,False,True,1,17,1,True,True,True
021,SROIE,train,68,68,True,True,True,True,27,10,64,4,True,True,False,True,2,20,0,True,True,True
022,SROIE,train,41,41,True,True,True,True,16,10,69,4,True,True,False,True,3,10,0,True,False,True
023,SROIE,train,62,62,True,True,True,True,27,10,63,5,True,True,False,True,2,15,0,True,True,True
024,SROIE,train,66,66,True,True,True,True,27,10,62,5,True,True,False,True,2,17,0,True,True,True
