doc_id,dataset,split,min_confidence,mean_confidence,min_margin,mean_margin,n_fields,n_correct,n_recoverable,any_error,any_unrecoverable,address_prediction,company_prediction,date_prediction,total_prediction
X00016469612,SROIE,train,0.6652748970468493,0.9067459125307203,0.003885505705924608,0.27156059645502484,4,1.0,4.0,1.0,0.0,TAN WOON YANN,TAN WOON YANN BOOK TA .K(TAMAN DAYA) SDN BND,25/12/2018,10.00
X00016469619,SROIE,train,0.777794162245972,0.9388767176149571,0.006831129858412277,0.2832644869959208,4,2.0,4.0,1.0,0.0,"TAN WOON YANN INDAH GIFT & HOME DECO 27,JALAN DEDAP 13,",TAN WOON YANN INDAH GIFT & HOME DECO,19/10/2018,60.31
X00016469620,SROIE,train,0.8181989132178958,0.937652432283651,0.00016934965047632478,0.24480440173359272,4,3.0,4.0,1.0,0.0,"LOT 1851-A & 1851-B,JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN,SELANGOR",TAN WOON YANN MR D.T.Y. (JOHOR) SDN BHD,12-01-19,RM 33.90
X00016469622,SROIE,train,0.7988666892452001,0.940936972366867,0.0003692341663898979,0.2523649252312676,4,2.0,4.0,1.0,0.0,TAN WOON YANN,TAN WOON YANN YONGFATT ENTERPRISE,25/12/2018,80.91
X00016469623,SROIE,train,0.8080712282779705,0.9391097479088759,0.0002987975160354539,0.24615401132141837,4,3.0,4.0,1.0,0.0,"LOT 1851-A & 1851-B,JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN,SELANGOR",TAN WOON YANN MR D.I.Y. (M) SDN BHD,18-11-18,RM 30.91
X00016469669,SROIE,train,0.8733719888925183,0.9660673860417228,0.0014649878717724052,0.2535468808399439,4,3.0,4.0,1.0,0.0,TAN CHAY YEE,TAN CHAY YEE ABC HO TRADING,09/01/2019,31.00
X00016469672,SROIE,train,0.8256830679309839,0.952159818481532,0.0007181498925191709,0.0044066220303031756,4,3.0,4.0,1.0,0.0,"TAMAN SRIPUTRA,",TAN CHAY YEE SOON HUAT MACHINERY ENTERPRISE,11/01/2019,327.00
X00016469676,SROIE,train,0.8784979359712534,0.9624603589089837,0.0033151556883694866,0.24970470731944874,4,4.0,4.0,0.0,0.0,"NO. 343,JALAN KURAU,SUNGAI RENGIT,",TAN CHAY YEE S.H.H. MOTOR (SUNGAI RENGIT) SDN. BHD.,23-01-2019,20.00
X51005200938,SROIE,train,0.6648935459593488,0.8716728305560166,0.0008751226283336688,0.06646256343979164,4,2.0,4.0,1.0,0.0,PERNIAGAAN ZHENG HUI,PERNIAGAAN ZHENG HUI,12/02/2018,106.10
X51005230617,SROIE,train,0.8121088732837402,0.938142877340806,0.00035612946744689733,0.24064751139967083,4,4.0,4.0,0.0,0.0,"LICENSEE OF MCDONALD'S LEVEL 6,BANGUNAN TH,DAMANSARA UPTOWN3 NO.3,JALAN SS21/39,47400 PETALING JAYA",1950 GERBANG ALAF RESTAURANTS SDN BHD,18/01/2018,26.60
X51005255805,SROIE,train,0.7893262102320542,0.9205078818355228,0.008671116976400106,0.25878942034415026,4,3.0,4.0,1.0,0.0,"67,JLN MEWAH 25/63 TMN SRI MUDA,",SAM SAM TRADING CO,29-12-2017,RM 13.30
X51005268200,SROIE,train,0.7759107566096732,0.9396393773146781,3.5056259762855646e-06,0.022712110760109316,4,4.0,4.0,0.0,0.0,"NO. 17-G,JALAN SETIA INDAH",AIK HUAT HARDWARE ENTERPRISE (SETIA,CSP0393921 DATE: 15/06/2017,15.00
X51005268262,SROIE,train,0.7358886953200707,0.9275692599119088,0.000394399702294046,0.2585658494539539,4,4.0,4.0,0.0,0.0,"NO.113G & 115G,JALAN SETIA GEMBILANG",HOME MASTER HARDWARE & ELECTRICAL,22/12/2017,15.90
X51005268400,SROIE,train,0.8749154206338143,0.9645638128291604,0.0017740017481892023,0.2697979111753206,4,4.0,4.0,0.0,0.0,NO.2-1-1 JALAN SETIA PRIMA Q,RESTORAN HASSANBISTRO,12/28/2017,15.00
X51005268472,SROIE,train,0.7990615617570903,0.9476712401030064,0.0007803938133512656,0.012361123327595758,4,3.0,4.0,1.0,0.0,"JALAN KAPAR,42200 KLANG,SELANGOR.",ASIA MART,22/12/2017,15.25
X51005301659,SROIE,train,0.7148288802388095,0.9223183199739803,0.00027803180961194496,0.25252658090478175,4,4.0,4.0,0.0,0.0,"NO.113G & 115G,JALAN SETIA GEMBILANG",HOME MASTER HARDWARE &,22/12/2017,15.90
X51005301661,SROIE,train,0.8119464753248855,0.9497739887834892,0.001815494215321345,0.026004528812378525,4,3.0,4.0,1.0,0.0,"NO: 28,JALAN ASTANA 1C, BANDAR BUKIT RAJA,41050 KLANG SELANGOR D.E,MALAYSIA",LIGHTROOM GALLERY SDN BHD,20/12/2017,66.04
X51005301667,SROIE,train,0.6717255791183843,0.9120166691135517,0.001865764799334757,0.03319432595006891,4,3.0,4.0,1.0,0.0,"NO: 28,JALAN ASTANA 1C, BANDAR BUKIT RAJA,41050 KLANG SELANGOR D. E,MALAYSIA",LIGHTROOM GALLERY SDN BHD,20/11/2017,37.55
X51005303661,SROIE,train,0.7004270385018342,0.9221901630580704,0.00211055625294132,0.07824373502700588,4,3.0,4.0,1.0,0.0,"NO: 28,JALAN ASTANA 1C, BANDAR BUKIT RAJA,41050 KLANG SELANGOR D.E,MALAYSIA",LIGHTROOM GALLERY SDN BHD,20/12/2017,68.87
X51005306399,SROIE,train,0.7781274146927156,0.9314757791235828,0.003850897792033403,0.25028443234448233,4,4.0,4.0,0.0,0.0,LOT 2685 JLN GENTING KLANG,3 180048 SHELL ISNI PETRO TRADING,18/03/18,86.00
X51005337872,SROIE,train,0.7487474885574054,0.9137887912608996,0.0021013565315499694,0.25773463539111063,4,3.0,4.0,1.0,0.0,"75,JALAN SS 22/19,DAMANSARA JAYA,47400 PJ, TEL : 03-7731 8169",SYL ROASTED DELIGHTS SDN. BHD.,06/03/2018,51.42
X51005361883,SROIE,train,0.6219574943238578,0.9009580939656161,0.0008149992778478943,0.03642084076794924,4,3.0,4.0,1.0,0.0,"NO. 53,JALAN BESAR,45600 BATANG BERJUNTAI",TEO HENG STATIONERY & BOOKS,18/01/2018,4.60
X51005361895,SROIE,train,0.8546027019494437,0.9541407703755882,0.00433350067083893,0.3064541109921927,4,2.0,4.0,1.0,0.0,FUYI MINI MARKET,FUYI MINI MARKET,25/01/2018,1.00
X51005361897,SROIE,train,0.6319143897390084,0.899184293148909,0.0006215916403471411,0.05522754762929627,4,4.0,4.0,0.0,0.0,"NO. 53,JALAN BESAR,45600 BATANG BERJUNTAI",TEO HENG STATIONERY & BOOKS,17/01/2018,27.55
X51005361898,SROIE,train,0.49128629737296725,0.8640887840060527,0.000609298585493967,0.04913893722606337,4,4.0,4.0,0.0,0.0,"NO. 53,JALAN BESAR,45600 BATANG BERJUNTAI",TEO HENG STATIONERY & BOOKS,15/01/2018,55.10
X51005361900,SROIE,train,0.6670237336594602,0.9102887860315841,0.0006587678615236348,0.0386759996681664,4,3.0,4.0,1.0,0.0,"NO. 53,JALAN BESAR,45600 BATANG BERJUNTAI",TEO HENG STATIONERY & BOOKS,23/01/2018,16.98
X51005361900(1),SROIE,train,0.6670237336594602,0.9102887860315841,0.0006587678615236348,0.0386759996681664,4,3.0,4.0,1.0,0.0,"NO. 53,JALAN BESAR,45600 BATANG BERJUNTAI",TEO HENG STATIONERY & BOOKS,23/01/2018,16.98
X51005361907,SROIE,train,0.8934344090479704,0.9687702783682137,0.0006513735946700461,0.030349273143612382,4,3.0,4.0,1.0,0.0,"NO. 53,JALAN BESAR,45600 BATANG BERJUNTAI",TEO HENG STATIONERY & BOOKS,12/02/2018,144.68
X51005361907(1),SROIE,train,0.8934344090479704,0.9687702783682137,0.0006513735946700461,0.030349273143612382,4,3.0,4.0,1.0,0.0,"NO. 53,JALAN BESAR,45600 BATANG BERJUNTAI",TEO HENG STATIONERY & BOOKS,12/02/2018,144.68
X51005361946,SROIE,train,0.8128550803878737,0.9254075770517642,9.068869014772218e-05,0.2250842842895001,4,4.0,4.0,0.0,0.0,"LOT 1851-A & 1851-B,JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN,SELANGOR",MR. D.I.Y. (M) SDN BHD,14-03-18,RM 37.10
X51005361950,SROIE,train,0.7613341064238919,0.9322365996214499,0.004804124513236974,0.289772848916205,4,3.0,4.0,1.0,0.0,TAMAN BERKELEY,"99 SPEED MART S/B (519537-X) LOT P.T. 2811,JALAN ANGSA, TAMAN BERKELEY",24-01-18,RM1.25
X51005361950(1),SROIE,train,0.7613341064238919,0.9322365996214499,0.004804124513236974,0.289772848916205,4,3.0,4.0,1.0,0.0,TAMAN BERKELEY,"99 SPEED MART S/B (519537-X) LOT P.T. 2811,JALAN ANGSA, TAMAN BERKELEY",24-01-18,RM1.25
X51005365179,SROIE,train,0.76840747742881,0.9318131188196304,0.0020649150703228036,0.022686580958372726,4,3.0,4.0,1.0,0.0,"NO.50,JALAN PBS 14/11, KAWASAN PERINDUSTRIAN BUKIT SERDANG,",C W KHOO HARDWARE SDN BHD,01-03-18,20.00
X51005365179(1),SROIE,train,0.76840747742881,0.9318131188196304,0.0020649150703228036,0.022686580958372726,4,3.0,4.0,1.0,0.0,"NO.50,JALAN PBS 14/11, KAWASAN PERINDUSTRIAN BUKIT SERDANG,",C W KHOO HARDWARE SDN BHD,01-03-18,20.00
X51005433492,SROIE,train,0.8935749357121092,0.9534531853661914,0.0004533603528893426,0.22385014031834138,4,4.0,4.0,0.0,0.0,"12,JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN",UNIHAKKA INTERNATIONAL SDN BHD,05 MAR 2018,8.20
X51005433494,SROIE,train,0.8624940398070096,0.9612196303139103,0.0010353111230986256,0.27715560232172587,4,3.0,4.0,1.0,0.0,"3RD FLR,AEON TAMAN MALURI SC JLN JEJAKA,TAMAN MALURI CHERAS,55100 KUALA LUMPUR","AEON CO. (M) BHD (126926-H) 3RD FLR,AEON TAMAN MALURI SC JLN JEJAKA,TAMAN MALURI",06/03/2018,100.00
X51005433514,SROIE,train,0.8952799673078231,0.9533593348427594,0.00028477390641445943,0.22429916537587355,4,4.0,4.0,0.0,0.0,"12,JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN",UNIHAKKA INTERNATIONAL SDN BHD,03 MAR 2018,8.20
X51005433522,SROIE,train,0.8942972996103986,0.9545102313794032,0.00014264547135434125,0.22479821371462194,4,3.0,3.0,0.0,0.0,"12,JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN",UNIHAKKA INTERNATIONAL SDN BHD,10 MAR 2018,8.20
X51005433533,SROIE,train,0.7084873373205806,0.8849699347471393,0.0009757877246618918,0.042548370480455566,4,1.0,4.0,1.0,0.0,PERNIAGAAN ZHENG HUI,GOGIANT ENGINEERING (M) SDN BHD,09/03/2018,170.00
X51005433538,SROIE,train,0.9083959850729367,0.9607299060329514,0.0002885528159005668,0.22887272985555807,4,4.0,4.0,0.0,0.0,"12,JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN",UNIHAKKA INTERNATIONAL SDN BHD,12 MAR 2018,8.20
X51005433541,SROIE,train,0.8921142182330623,0.9536219610085113,0.0004413699955562178,0.22350331479216512,4,4.0,4.0,0.0,0.0,"12,JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN",UNIHAKKA INTERNATIONAL SDN BHD,14 MAR 2018,8.20
X51005433552,SROIE,train,0.6352108189976623,0.9007536185680854,1.7018788356359948e-07,0.002407565806378714,4,3.0,4.0,1.0,0.0,JALAN PERMAS UTARA 1. PERMAS JAYA 81750 MASAI JOHOR,WARAKUYA PERMAS CITY SDN BHD,DATE: 10/03/2018 5:41:06,79.60
X51005433553,SROIE,train,0.7548892379197133,0.9264356272194317,0.0016223766726312094,0.2515190833442752,4,4.0,4.0,0.0,0.0,"TAMAN DESA TEBRAU,","YHM AEON TEBRAU CITY S117,SECOND FLOOR, AEON TEBRAU CITY,",11/03/2018,13.10
X51005441398,SROIE,train,0.7770273765548178,0.9365631743111918,0.001340279517855092,0.00965616436783251,4,2.0,4.0,1.0,0.0,"AVTIVO PLAZA,LOT B-F-11,BLOCK B NO1.JALAN PJU 9/1,D'SARA AVEVUE BANDAR SRI D'SARA,52000 XL",BREWERY TAP DWNER BY CASTLE BLUE S/B,30/03/2018,179.00
X51005441401,SROIE,train,0.9233400249280664,0.9632271536328435,0.003753523115800239,0.04092226674325647,4,4.0,4.0,0.0,0.0,DAMANSARA UTAMA,THREE STOOGES BISTRO & CAFE,12/03/2018,343.95
X51005441402,SROIE,train,0.9214790127537263,0.9621620634691679,0.003557131773972322,0.04166644193406238,4,4.0,4.0,0.0,0.0,DAMANSARA UTAMA,THREE STOOGES BISTRO & CAFE,03/03/2018,174.90
X51005441407,SROIE,train,0.8679571832273733,0.965900385153128,1.9262409223230748e-07,0.021375915149602548,4,2.0,4.0,1.0,0.0,GEOVENTURE,GEOVENTURE TASTE OF THE WORLD SDN BHD,DATE : 5/3/2018 22:52:33,RM 100.00
X51005441408,SROIE,train,0.9251114006275788,0.9681361015367933,0.002657758671342436,0.016954651192166575,4,4.0,4.0,0.0,0.0,"DAMANSARA UTAMA,",32 PUB & BISTRO OWN BY CNU TRADING,10-03-2018,190.00
X51005442327,SROIE,train,0.9089735579552097,0.9556087557935043,0.00048665854199925196,0.22913979619022498,4,4.0,4.0,0.0,0.0,"12,JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN",UNIHAKKA INTERNATIONAL SDN BHD,18 MAR 2018,8.60
X51005442333,SROIE,train,0.9104562258713325,0.9551688436831016,0.0003469670411050396,0.2287701086918369,4,4.0,4.0,0.0,0.0,"12,JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN",UNIHAKKA INTERNATIONAL SDN BHD,27 MAR 2018,6.90
