doc_id,dataset,split,min_confidence,mean_confidence,min_margin,mean_margin,n_fields,n_correct,n_recoverable,any_error,any_unrecoverable,address_prediction,company_prediction,date_prediction,total_prediction
X00016469612,SROIE,train,0.5223081707954407,0.8744885474443436,0.00042307376861572266,0.29081255866913125,4,2.0,4.0,1.0,0.0,"NO.53 55,57 & 59,JALAN SAGU 18,",TAN WOON YANN BOOK TA .K(TAMAN DAYA) SDN BND,25/12/2018,10.00
X00016469619,SROIE,train,0.8229861259460449,0.9499894380569458,0.0006877779960632324,0.26023516058921814,4,2.0,4.0,1.0,0.0,"27,JALAN DEDAP 13,",TAN WOON YANN,19/10/2018,10.00
X00016469620,SROIE,train,0.8538485169410706,0.9537138938903809,9.953975677490234e-06,0.26020120084285736,4,2.0,4.0,1.0,0.0,"43300 SERI KEMBANGAN,SELANGOR","MR D.T.Y. (JOHOR) SDN BHD (CO.REG : 933109-X) LOT 1851-A & 1851-B,JALAN KPB 6,",12-01-19,RM 33.92
X00016469622,SROIE,train,0.912095308303833,0.9748252630233765,0.0005050301551818848,0.24840419544489123,4,3.0,4.0,1.0,0.0,NO 122.124 JALAN DEDAP 13,TAN WOON YANN YONGFATT ENTERPRISE,25/12/2018,100.00
X00016469623,SROIE,train,0.8262014389038086,0.9504090547561646,0.00015854835510253906,0.25972557067871094,4,3.0,4.0,1.0,0.0,"43300 SERI KEMBANGAN,SELANGOR","MR D.I.Y. (M) SDN BHD (CO. RFG : 860671-D) LOT 1851-A & 1851-B,JALAN KPB 6,",18-11-18,RM 30.91
X00016469669,SROIE,train,0.909360408782959,0.9761533588171005,0.0019187331199645996,0.2543463772017276,4,4.0,4.0,0.0,0.0,81100 JOHOR BAHRU JOHOR,"TAN CHAY YEE ABC HO TRADING NO.2&4,JALAN HARMONI 3/2,",09/01/2019,31.00
X00016469672,SROIE,train,0.9235146641731262,0.978222593665123,0.0002512931823730469,0.006094187498092651,4,4.0,4.0,0.0,0.0,81200 JOHOR BAHRU,TAN CHAY YEE SOON HUAT MACHINERY ENTERPRISE,11/01/2019,327.00
X00016469676,SROIE,train,0.7141798138618469,0.924334779381752,0.0016970038414001465,0.2545556575059891,4,4.0,4.0,0.0,0.0,"NO. 343,JALAN KURAU,SUNGAI RENGIT,",TAN CHAY YEE S.H.H. MOTOR (SUNGAI RENGIT) SDN. BHD.,23-01-2019,20.00
X51005200938,SROIE,train,0.8528263568878174,0.9450860023498535,0.0003994107246398926,0.08767412602901459,4,3.0,4.0,1.0,0.0,NO.59 JALAN PERMAS 9/5,PERNIAGAAN ZHENG HUI,12/02/2018,106.10
X51005230617,SROIE,train,0.8137229681015015,0.9342163503170013,0.0010150671005249023,0.23603396117687225,4,4.0,4.0,0.0,0.0,"NO.3,JALAN SS21/39,47400 PETALING JAYA",GERBANG ALAF RESTAURANTS SDN BHD,18/01/2018,26.60
X51005255805,SROIE,train,0.7864667773246765,0.936586394906044,0.007349252700805664,0.20685896277427673,4,4.0,4.0,0.0,0.0,"67,JLN MEWAH 25/63 TMN SRI MUDA,",SAM SAM TRADING CO,29-12-2017,RM 14.10
X51005268200,SROIE,train,0.8621340394020081,0.9615505635738373,0.0024800896644592285,0.019792556762695312,4,4.0,4.0,0.0,0.0,"NO. 17-G,JALAN SETIA INDAH",AIK HUAT HARDWARE ENTERPRISE (SETIA,15/06/2017,15.00
X51005268262,SROIE,train,0.870945930480957,0.9623802900314331,0.0027884244918823242,0.25714677658106666,4,4.0,4.0,0.0,0.0,"NO.113G & 115G,JALAN SETIA GEMBILANG",HOME MASTER HARDWARE &,22/12/2017,15.90
X51005268400,SROIE,train,0.8977010846138,0.9716462194919586,0.0033819079399108887,0.25554594669665676,4,4.0,4.0,0.0,0.0,NO.2-1-1 JALAN SETIA PRIMA Q,RESTORAN HASSANBISTRO,12/28/2017,15.00
X51005268472,SROIE,train,0.8512951731681824,0.96216781437397,0.002244412899017334,0.005340471863746643,4,4.0,4.0,0.0,0.0,"JALAN KAPAR,42200 KLANG,SELANGOR.","ASIA MART (SA0264195-T) NO.23 BATU 10,TAMAN SENTOSA,",22/12/2017,32.70
