doc_id,dataset,split,min_confidence,mean_confidence,min_margin,mean_margin,n_fields,n_correct,n_recoverable,any_error,any_unrecoverable,address_prediction,company_prediction,date_prediction,total_prediction
X00016469612,SROIE,train,0.4676591455936432,0.7857943549752235,0.0013582110404968262,0.15039439126849174,4,2.0,4.0,1.0,0.0,"NO.53 55,57 & 59,JALAN SAGU 18,",TAN WOON YANN BOOK TA .K(TAMAN DAYA) SDN BND,25/12/2018,10.00
X00016469619,SROIE,train,0.7413657903671265,0.8666578084230423,0.002611815929412842,0.1908884346485138,4,2.0,4.0,1.0,0.0,"27,JALAN DEDAP 13,",TAN WOON YANN,19/10/2018,10.00
X00016469620,SROIE,train,0.6318050026893616,0.8408249616622925,0.0006685256958007812,0.16138270497322083,4,3.0,4.0,1.0,0.0,"LOT 1851-A & 1851-B,JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG,",TAN WOON YANN MR D.T.Y. (JOHOR) SDN BHD,12-01-19,RM 33.90
X00016469622,SROIE,train,0.684604823589325,0.8729380965232849,0.0020502209663391113,0.1064431443810463,4,3.0,4.0,1.0,0.0,NO 122.124 JALAN DEDAP 13,TAN WOON YANN YONGFATT ENTERPRISE,25/12/2018,100.00
X00016469623,SROIE,train,0.6474776864051819,0.845708429813385,0.0009524226188659668,0.16821788251399994,4,3.0,4.0,1.0,0.0,"LOT 1851-A & 1851-B,JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG,",TAN WOON YANN MR D.I.Y. (M) SDN BHD,18-11-18,RM 30.91
X00016469669,SROIE,train,0.7436679601669312,0.9060284048318863,0.00010144710540771484,0.12407541275024414,4,4.0,4.0,0.0,0.0,TAMAN DESA HARMONI.,TAN CHAY YEE ABC HO TRADING,09/01/2019,31.00
X00016469672,SROIE,train,0.7065399289131165,0.8820367306470871,0.0014987587928771973,0.03489890694618225,4,4.0,4.0,0.0,0.0,"NO.53 JALAN PUTRA 1,",TAN CHAY YEE SOON HUAT MACHINERY ENTERPRISE,11/01/2019,327.00
X00016469676,SROIE,train,0.6760169267654419,0.866845965385437,0.0035042762756347656,0.18208882212638855,4,4.0,4.0,0.0,0.0,"NO. 343,JALAN KURAU,SUNGAI RENGIT,",TAN CHAY YEE S.H.H. MOTOR (SUNGAI RENGIT) SDN. BHD.,23-01-2019,20.00
X51005200938,SROIE,train,0.6572596430778503,0.8159289062023163,0.011037468910217285,0.11788032203912735,4,3.0,4.0,1.0,0.0,NO.59 JALAN PERMAS 9/5,PERNIAGAAN ZHENG HUI,12/02/2018,106.10
X51005230617,SROIE,train,0.733755350112915,0.8765053004026413,8.064508438110352e-05,0.1865953654050827,4,4.0,4.0,0.0,0.0,"NO.3,JALAN SS21/39,47400 PETALING JAYA",GERBANG ALAF RESTAURANTS SDN BHD,18/01/2018,26.60
X51005255805,SROIE,train,0.5861824750900269,0.8079147785902023,0.0037064552307128906,0.07380662113428116,4,3.0,4.0,1.0,0.0,"67,JLN MEWAH 25/63 TMN SRI MUDA,",SAM SAM TRADING CO,29-12-2017,RM 13.30
X51005268200,SROIE,train,0.7257820963859558,0.8791465610265732,0.0004361271858215332,0.060881927609443665,4,4.0,4.0,0.0,0.0,"NO. 17-G,JALAN SETIA INDAH",AIK HUAT HARDWARE ENTERPRISE (SETIA,15/06/2017,15.00
X51005268262,SROIE,train,0.6668466925621033,0.8547331094741821,0.0010553598403930664,0.11993229389190674,4,4.0,4.0,0.0,0.0,"NO.113G & 115G,JALAN SETIA GEMBILANG",HOME MASTER HARDWARE &,22/12/2017,15.90
X51005268400,SROIE,train,0.7201298475265503,0.8868825137615204,0.0027660727500915527,0.12908300384879112,4,4.0,4.0,0.0,0.0,NO.2-1-1 JALAN SETIA PRIMA Q,RESTORAN HASSANBISTRO,12/28/2017,15.00
X51005268472,SROIE,train,0.7562854290008545,0.881943941116333,0.003541409969329834,0.03231997787952423,4,3.0,4.0,1.0,0.0,"JALAN KAPAR,42200 KLANG,SELANGOR.",ASIA MART,22/12/2017,15.25
X51005301659,SROIE,train,0.6655594110488892,0.8526400327682495,0.0013185739517211914,0.12144853174686432,4,4.0,4.0,0.0,0.0,"NO.113G & 115G,JALAN SETIA GEMBILANG",HOME MASTER HARDWARE &,22/12/2017,15.90
X51005301661,SROIE,train,0.7471877932548523,0.882971465587616,0.0010800361633300781,0.021915704011917114,4,3.0,4.0,1.0,0.0,"NO: 28,JALAN ASTANA 1C,",LIGHTROOM GALLERY SDN BHD,20/12/2017,66.04
X51005301667,SROIE,train,0.6861521601676941,0.8499374687671661,0.0015110969543457031,0.022163644433021545,4,3.0,4.0,1.0,0.0,"NO: 28,JALAN ASTANA 1C,",LIGHTROOM GALLERY SDN BHD,20/11/2017,37.55
X51005303661,SROIE,train,0.7003705501556396,0.861400693655014,0.0012572407722473145,0.1236509308218956,4,3.0,4.0,1.0,0.0,"NO: 28,JALAN ASTANA 1C,",LIGHTROOM GALLERY SDN BHD,20/12/2017,68.87
X51005306399,SROIE,train,0.6347101330757141,0.8548311293125153,0.0022436976432800293,0.1282367818057537,4,4.0,4.0,0.0,0.0,LOT 2685 JLN GENTING KLANG,SHELL ISNI PETRO TRADING,18/03/18,86.00
X51005337872,SROIE,train,0.6560017466545105,0.8256124407052994,0.006524980068206787,0.1478167325258255,4,3.0,4.0,1.0,0.0,"75,JALAN SS 22/19,DAMANSARA JAYA,47400 PJ,",SYL ROASTED DELIGHTS SDN. BHD.,06/03/2018,51.42
X51005361883,SROIE,train,0.5253340601921082,0.7992769181728363,0.009939134120941162,0.049030713737010956,4,3.0,4.0,1.0,0.0,"NO. 53,JALAN BESAR,45600 BATANG BERJUNTAI",TEO HENG STATIONERY & BOOKS,18/01/2018,4.60
X51005361895,SROIE,train,0.7362874746322632,0.8640811145305634,0.009808957576751709,0.19507808983325958,4,3.0,4.0,1.0,0.0,"TAMAN SEJATI,",FUYI MINI MARKET,25/01/2018,50.00
